GEOID,year,candidatevotes,totalvotes,voteshare
 1071,2008,6374,20874,30.535594519497938
 1071,2012,5822,20577,28.293726004762597
 1071,2016,3673,20984,17.503812428516966
 1071,2020,3717,23636,15.726011169402607
 1071,2024,3276,23556,13.90728476821192
 1073,2000,129889,273763,47.44578339658756
 1073,2004,132286,292967,45.15389105257589
 1073,2008,166121,318524,52.153369918750236
 1073,2012,159876,303918,52.60497897459183
 1073,2016,156873,304191,51.57055928676391
 1073,2020,181688,325848,55.758513171785616
 1073,2024,162112,298704,54.27178745513953
 1075,2000,2653,7249,36.59815146916816
 1075,2004,1956,6885,28.40958605664488
 1075,2008,1614,7075,22.812720848056536
 1075,2012,1646,7166,22.96957856544795
 1075,2016,1036,6966,14.872236577662933
 1075,2020,978,7193,13.596552203531212
 1075,2024,806,6890,11.69811320754717
 1077,2000,13875,32137,43.17453402620033
 1077,2004,14628,37107,39.42113347885844
 1077,2008,13329,38104,34.98057946672265
 1077,2012,12511,36924,33.883111255551945
 1077,2016,9952,39525,25.179000632511066
 1077,2020,11915,44339,26.872505018155575
 1077,2024,10326,43637,23.663404908678416
